Salary,Designation,JobCity,Gender,10percentage,10board,12graduation,12percentage,12board,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Experience,Age,AgeJ,gapgrad,Max_score
335000,programmer analyst,Hyderabad,m,88.0,State,2010,90.0,State,2,B.Tech/B.E.,Computer Science Department ,76.0,1,Telangana,2014,625,555,630,35.653648772447504,0.4155,0.8027,0.1357,-0.995,-0.6692,1.0,22.0,21.0,0,475.0
435000,systems analyst,Gurgaon,f,86.8,CBSE,2008,82.8,CBSE,2,B.Tech/B.E.,Computer Science Department ,78.0,0,Haryana,2012,575,585,575,74.47583540089391,0.0464,1.2028,-0.9245,0.5323,-0.2875,3.0,24.0,22.0,0,565.0
345000,senior software engineer,Bangalore,m,90.88,State,2006,82.5,Others,2,B.Tech/B.E.,Computer Science Department ,66.15,0,Orissa,2010,415,335,405,88.4122511593735,0.8192,0.1888,-1.7954,1.8249,1.1343,3.0,27.0,23.0,1,535.0
300000,ase,Bangalore,m,76.8,State,2009,83.0,State,2,B.Tech/B.E.,Electronics and Communication Engineering Department,76.44,0,Uttar Pradesh,2014,535,510,605,88.16200695301771,0.99,1.3779,0.7785,-0.2344,-0.6692,0.0,22.0,22.0,0,420.0
145000,telecommunication engineer,Noida,m,84.0,CBSE,2011,68.0,CBSE,2,B.Tech/B.E.,Electronics and Communication Engineering Department,72.0,0,Uttar Pradesh,2015,580,570,385,20.7392169717661,0.1282,0.7119,1.3933,-0.3612,-0.0943,0.0,21.0,21.0,0,335.0
220000,java software engineer,Gurgaon,m,64.0,CBSE,2010,74.0,CBSE,2,B.Tech/B.E.,Information Technology Department,68.0,0,Haryana,2014,485,375,435,48.674700843819295,-3.1994,-1.8393,0.0552,0.0623,-0.7615,-1.0,23.0,22.0,0,376.0
530000,systems engineer,Hyderabad,m,84.0,Others,2007,92.0,Others,2,B.Tech/B.E.,Computer Science Department ,77.2,0,Andhra Pradesh,2011,475,405,695,67.0743151433127,-0.4173,0.6568,-0.0537,-1.2303,-0.9194,4.0,25.0,22.0,0,455.0
340000,software engineer,Bangalore,m,77.2,State,2010,86.1,State,2,B.Tech/B.E.,Computer Science Department ,71.0,0,Tamil Nadu,2014,560,485,450,62.2642915849938,-0.0154,1.2114,1.0859,-1.5021,0.2889,1.0,22.0,22.0,0,485.0
360000,application developer,Noida,f,87.0,CBSE,2009,84.4,CBSE,1,B.Tech/B.E.,Computer Science Department ,79.3,1,Delhi,2013,570,475,295,41.3838255788123,-0.7335,-0.4536,-1.0659,1.1601,-0.4776,2.0,23.0,22.0,0,385.0
145000,ios developer,Kolkata,m,73.0,State,2010,68.4,State,2,B.Tech/B.E.,Information Technology Department,74.3,1,West Bengal,2014,560,530,605,91.13952783913281,-0.7335,0.5454,-0.7585,-0.6147,1.4386,1.0,23.0,23.0,0,500.0
215000,executive assistant,Bangalore,f,71.0,CBSE,2009,68.0,ICSE,2,B.Tech/B.E.,Computer Science Department ,70.86,0,Uttar Pradesh,2013,430,510,405,35.653648772447504,1.5644,1.0449,0.3174,-1.8824,1.0554,1.0,25.0,25.0,2,465.0
350000,online marketing manager,Mohali,f,85.0,CBSE,2008,61.0,CBSE,2,B.Tech/B.E.,Electronics and Communication Engineering Department,64.98,0,Punjab,2011,570,475,430,0.0,-0.4854,-0.5213,2.1129,-0.735,1.8224,2.0,24.0,23.0,3,445.0
270000,software engineer,Hyderabad,f,91.5,State,2009,93.8,State,1,B.Tech/B.E.,Computer Science Department ,74.1,1,Telangana,2013,380,535,530,52.592258425205486,-1.0208,0.2124,0.4711,0.2727,-0.0943,3.0,22.0,21.0,0,415.0
80000,documentation specialist,Gurgaon,m,77.0,CBSE,2010,85.4,CBSE,2,B.Tech/B.E.,Electronics and Communication Engineering Department,63.9,0,Punjab,2014,475,605,415,64.93897148466911,0.2718,0.5454,0.3174,-1.8824,-0.4776,0.0,22.0,22.0,0,435.0
330000,associate software engineer,Bangalore,m,52.33,State,2007,67.0,State,2,MCA,Computer Science Department ,77.15,0,Uttar Pradesh,2013,450,525,545,73.57957092246559,-0.0154,1.2114,0.6248,0.7798,0.8637,2.0,23.0,22.0,1,475.0
200000,management trainee,Others,m,88.0,Others,2008,89.66,State,2,B.Tech/B.E.,Electronics and Communication Engineering Department,76.4,0,Kerala,2012,510,640,635,12.450207400953698,0.3941,1.2808,0.2366,-2.1998,-0.4455,0.0,24.0,22.0,1,233.0
120000,site manager,Jhansi,m,66.6,CBSE,2007,68.6,State,2,B.Tech/B.E.,Mechanical Engineering Department,60.22,0,Uttar Pradesh,2011,425,595,475,13.0441735719574,-0.4173,0.3448,0.0914,-0.4078,0.6603,1.0,26.0,22.0,0,286.0
145000,software developer,Delhi,m,75.0,CBSE,2009,60.0,CBSE,2,B.Tech/B.E.,Computer Science Department ,66.0,0,Uttar Pradesh,2014,380,545,460,35.653648772447504,-0.8772,-1.1196,-1.0659,-1.2486,-1.4356,0.0,23.0,22.0,0,395.0
350000,associate software engineer,Bangalore,m,91.4,ICSE,2010,73.0,CBSE,1,B.Tech/B.E.,Information Technology Department,71.0,0,Uttar Pradesh,2014,555,560,825,23.780283983757,-0.0154,0.2578,-0.5349,-1.1218,-1.359,1.0,23.0,23.0,0,525.0
120000,.net developer,Hyderabad,m,59.0,State,2010,87.7,State,2,B.Tech/B.E.,Electronics and Communication Engineering Department,71.04,1,Telangana,2014,300,340,355,11.213943820740301,-0.0154,-2.4516,-0.4511,0.2727,-3.1602,1.0,22.0,21.0,0,228.0
380000,programmer analyst,Bangalore,f,84.5,Others,2007,82.5,Others,2,B.Tech/B.E.,Computer Science Department ,92.1,0,Karnataka,2011,425,525,515,37.7551419424541,0.51,0.6568,-0.6343,0.2973,0.1864,3.0,26.0,23.0,1,375.0
110000,production engineer,Chennai,m,95.8,State,2010,87.16,State,2,B.Tech/B.E.,Mechanical Engineering Department,79.0,0,Tamil Nadu,2014,430,395,500,6.69607065028304,-0.5899,-1.1196,0.4711,-0.7415,-1.4356,0.0,22.0,22.0,0,253.0
205000,jr. software engineer,Noida,f,85.6,CBSE,2008,82.0,CBSE,2,B.Tech/B.E.,Computer Science Department ,74.01,0,Haryana,2012,370,495,455,8.00552813405495,0.1282,0.5454,0.1637,-0.4879,0.8637,2.0,23.0,22.0,1,445.0
95000,software developer,Delhi,m,69.6,Others,2008,71.4,Others,2,B.Tech/B.E.,Computer Science Department ,77.0,0,Orissa,2012,485,415,575,92.5645767094482,-0.4173,0.6568,-0.7794,1.7074,0.1864,1.0,23.0,21.0,0,445.0
390000,software engineer,Bangalore,m,86.6,CBSE,2009,75.0,CBSE,2,B.Tech/B.E.,Computer Science Department ,74.0,0,Madhya Pradesh,2013,505,545,565,35.653648772447504,-2.5039,0.0328,0.3817,0.26793,0.5024,2.0,24.0,23.0,0,475.0
270000,qa analyst,Bangalore,m,81.92,State,2007,61.46,State,2,B.Tech/B.E.,Information Technology Department,57.54,1,Karnataka,2011,565,465,415,84.31237266657419,1.2828,1.7488,1.8331,-2.2879,1.1343,2.0,26.0,23.0,1,515.0
60000,trainee software developer,Bhubaneswar,f,66.5,CBSE,2005,49.5,Others,2,MCA,Computer Science Department ,89.7,0,Orissa,2011,505,505,485,91.68699611036187,-1.0355,0.0328,-2.2308,1.0024,0.3444,2.0,27.0,23.0,0,555.0
120000,ui developer,Hyderabad,m,80.0,State,2009,72.5,State,2,B.Tech/B.E.,Computer Science Department ,57.8,0,Andhra Pradesh,2013,580,485,455,78.3303536670298,-0.4463,-0.1206,-1.0659,-0.1076,-1.244,1.0,23.0,23.0,2,405.0
400000,software engineer,Navi Mumbai,m,85.2,ICSE,2010,81.5,ICSE,2,B.Tech/B.E.,Computer Science Department ,57.64,0,Uttar Pradesh,2014,545,385,485,60.0057182338341,1.1336,0.3789,1.0859,0.653,0.2889,1.0,23.0,23.0,1,435.0
350000,assistant system engineer,Mumbai,m,89.25,State,2010,78.0,State,2,B.Tech/B.E.,Electrical and Power engineering Department,80.0,1,West Bengal,2014,570,510,545,79.293627759454,-0.159,-0.1206,-0.6048,-1.6289,-1.4356,1.0,23.0,23.0,0,484.0
120000,android developer,Delhi,f,58.4,CBSE,2008,64.8,CBSE,2,MCA,Computer Science Department ,80.0,0,Haryana,2014,440,415,554,79.3580614548506,0.335,0.0924,-0.6582,-0.4821,-0.1543,1.0,23.0,23.0,0,495.0
250000,software engineer,Mangalore,m,90.8,State,2010,90.1,State,2,B.Tech/B.E.,Computer Science Department ,67.7,0,Karnataka,2014,525,530,595,48.674700843819295,-0.3027,0.7119,-0.2974,1.1601,-0.4776,1.0,23.0,22.0,0,485.0
240000,customer service,Rewari,f,78.0,CBSE,2006,70.1,CBSE,2,B.Tech/B.E.,Electronics and Communication Engineering Department,68.2,0,Haryana,2011,415,595,495,69.4479327708463,0.8192,-0.0842,-0.598,-0.6428,-0.6035,3.0,25.0,24.0,2,366.0
525000,test engineer,Hyderabad,f,89.88,Others,2007,95.4,Others,2,B.Tech/B.E.,Electronics and Communication Engineering Department,80.8,1,Telangana,2011,555,475,635,69.4479327708463,0.3555,-0.2793,-0.6343,-0.2902,-0.2875,4.0,25.0,23.0,1,420.0
200000,project engineer,Ghaziabad,m,63.3,State,2008,61.1,State,2,B.Tech/B.E.,Electronics and Communication Engineering Department,66.9,0,Uttar Pradesh,2013,420,510,665,11.213943820740301,-1.0208,-0.6201,-0.2974,-0.1076,-1.244,1.0,25.0,23.0,0,228.0
120000,software engineer,Bangalore,m,72.0,CBSE,1995,49.0,Others,2,B.Tech/B.E.,Computer Science Department ,55.0,0,Karnataka,2011,640,460,250,52.592258425205486,-0.3014,-0.4353,-0.9245,-0.349,-0.4455,4.0,37.0,32.0,-2,415.0
305000,software engineer,Chennai,f,83.0,State,2009,79.0,State,2,B.Tech/B.E.,Information Technology Department,70.0,1,Telangana,2013,430,410,310,16.563309151247598,-0.159,-0.1206,0.1637,1.5404,-0.0943,2.0,23.0,22.0,0,305.0
300000,java developer,Chennai,m,85.3,State,2010,88.3,State,2,B.Tech/B.E.,Computer Science Department ,85.0,1,Tamil Nadu,2014,370,375,325,35.653648772447504,1.8517,1.5444,0.3174,0.3995,0.6721,0.0,22.0,21.0,0,346.0
145000,engineer,Noida,f,81.0,CBSE,2009,77.8,CBSE,2,B.Tech/B.E.,Electronics and Communication Engineering Department,65.35,0,Uttar Pradesh,2014,535,510,390,20.7392169717661,-1.1644,-0.9531,0.01,-0.7415,-0.8608,2.0,24.0,23.0,0,260.0
150000,management trainee,Bhiwadi,m,60.66,Others,2008,62.4,State,2,B.Tech/B.E.,Mechanical Engineering Department,69.3,0,Uttar Pradesh,2013,370,410,470,75.53751208955481,-2.2351,-2.6847,-2.6028,0.3995,-5.477,0.0,23.0,23.0,1,446.0
600000,java software engineer,Gurgaon,m,78.0,CBSE,2004,83.0,CBSE,1,B.Tech/B.E.,Information Technology Department,72.13,1,Delhi,2010,444,555,695,99.9904558268382,0.6646,0.3448,0.8171,0.6498,0.0284,2.0,29.0,24.0,0,804.0
310000,system engineer,Mysore,m,89.37,State,2009,79.0,State,2,B.Tech/B.E.,Electronics and Communication Engineering Department,70.0,0,West Bengal,2013,630,580,510,33.8786347219528,0.99,1.2114,-0.2974,-1.1218,1.247,0.0,24.0,23.0,1,292.0
455000,system engineer,Bangalore,m,90.0,State,2006,94.4,State,2,B.Tech/B.E.,Electronics and Communication Engineering Department,76.12,0,Andhra Pradesh,2010,505,525,595,12.450207400953698,-0.2628,-0.1232,0.0914,-1.2303,-0.1295,3.0,25.0,21.0,1,615.0
400000,test engineer,Bangalore,f,81.0,ICSE,2010,79.0,ICSE,2,B.Tech/B.E.,Electronics and Communication Engineering Department,71.5,0,Uttar Pradesh,2014,510,500,575,49.359638730103796,-1.8825,-3.7836,-2.4491,0.9066,-1.8189,1.0,23.0,23.0,0,455.0
150000,recruitment coordinator,Chennai,f,78.0,Others,2006,86.67,State,2,B.Tech/B.E.,Instrumentation Engineering Department,77.55,1,Tamil Nadu,2010,535,465,535,91.0770164246022,-0.880999999999999,1.4368,0.3817,-0.4078,-0.1295,2.0,26.0,21.0,0,445.0
250000,software developer,Mangalore,m,84.4,CBSE,2011,73.2,CBSE,2,B.Tech/B.E.,Computer Science Department ,70.0,0,Punjab,2015,570,410,535,67.0743151433127,-0.0154,0.8784,0.01,-0.7415,-0.2859,1.0,22.0,22.0,0,455.0
320000,system engineer,Chennai,m,89.0,State,2009,92.0,State,2,B.Tech/B.E.,Electrical and Power engineering Department,76.4,1,Telangana,2013,625,645,605,98.2057124317279,-1.4517,-1.4526,-1.2196,1.794,-2.3937,2.0,22.0,21.0,1,606.0
250000,java software engineer,Rajkot,m,86.0,State,2008,64.0,State,2,B.Tech/B.E.,Information Technology Department,61.17,0,Gujarat,2013,665,545,415,91.13952783913281,1.1336,1.3779,2.1617,-0.995,1.0554,2.0,24.0,23.0,1,500.0
200000,technical support engineer,Bangalore,m,85.0,ICSE,2010,75.0,CBSE,2,B.Tech/B.E.,Computer Science Department ,60.0,1,Karnataka,2014,675,480,500,84.2248322257836,1.1336,1.0449,0.1637,-1.2486,0.0973,1.0,22.0,21.0,0,469.0
240000,android developer,Greater Noida,m,75.0,CBSE,2009,64.0,CBSE,2,B.Tech/B.E.,Computer Science Department ,67.0,0,Uttar Pradesh,2014,510,480,485,0.0,-0.159,0.8784,1.2396,0.2727,-0.6692,1.0,23.0,22.0,0,445.0
120000,data analyst,Indore,f,86.0,State,2009,77.0,State,2,B.Tech/B.E.,Computer Science Department ,75.0,0,Madhya Pradesh,2013,325,510,295,1.8540941675430505,0.1282,0.0459,0.1637,0.0192,-0.0943,0.0,23.0,24.0,2,415.0
300000,programmer analyst,Bangalore,m,70.6,CBSE,2010,78.67,State,2,B.Tech/B.E.,Electronics and Communication Engineering Department,75.84,1,Karnataka,2014,580,485,510,5.31603052826837,0.5591,0.2124,-1.2196,-0.7415,-0.8608,1.0,22.0,22.0,0,285.0
800000,software engineer,Bangalore,m,93.44,State,2008,90.0,State,2,B.Tech/B.E.,Computer Science Department ,87.6,0,Karnataka,2012,515,475,635,94.21165514850081,-0.4173,0.9688,-0.1988,-0.2902,0.3049,4.0,24.0,21.0,0,575.0
120000,test engineer,Others,m,76.0,State,2009,72.0,State,2,B.Tech/B.E.,Computer Science Department ,63.2,0,Tamil Nadu,2013,510,355,340,12.3016731640823,-0.159,-0.2871,0.4711,0.2727,-0.4776,2.0,23.0,22.0,1,285.0
325000,system engineer,Mysore,f,86.4,CBSE,2010,78.2,CBSE,2,B.Tech/B.E.,Electronics and Communication Engineering Department,73.5,1,Karnataka,2014,535,435,440,20.7392169717661,0.8463,1.3779,1.3933,0.653,-0.2859,0.0,22.0,22.0,0,530.0
100000,software developer,Others,f,86.0,State,2009,95.0,State,2,B.Tech/B.E.,Electronics and Communication Engineering Department,78.6,0,Telangana,2013,405,545,450,64.93897148466911,0.5591,-0.4536,0.01,-0.4879,0.6721,1.0,23.0,21.0,0,375.0
300000,assistant software engineer,Bangalore,m,84.83,CBSE,2010,82.4,CBSE,2,B.Tech/B.E.,Computer Science Department ,74.14,0,Uttar Pradesh,2014,665,595,705,74.47583540089391,-0.4463,0.2124,0.3174,-1.5021,-0.2859,1.0,22.0,22.0,0,505.0
280000,faculty,Delhi,m,72.3,ICSE,2008,60.2,CBSE,2,B.Tech/B.E.,Electronics and Communication Engineering Department,69.38,1,Rajasthan,2013,555,475,415,69.4479327708463,1.4208,0.5454,-0.2974,1.0333,-0.6692,0.0,25.0,24.0,1,393.0
215000,entry level management trainee,Delhi,f,69.0,CBSE,2005,62.6,CBSE,2,B.Tech/B.E.,Electrical and Power engineering Department,76.25,0,Madhya Pradesh,2010,395,455,475,69.4479327708463,-0.4173,0.1888,-0.4891,0.4148,0.8183,0.0,28.0,28.0,4,366.0
145000,customer service representative,Jaipur,m,80.0,State,2010,70.0,State,2,B.Tech/B.E.,Electronics and Communication Engineering Department,55.0,1,Rajasthan,2014,430,450,385,0.0,0.1282,-0.1206,0.9322,1.5404,0.0973,0.0,21.0,21.0,0,445.0
445000,software test engineer,Pune,f,73.33,Others,2004,71.33,Others,2,MCA,Computer Science Department ,61.0,1,Maharashtra,2010,375,535,534,60.0057182338341,-2.272,-0.2793,-1.2148,0.8848,-0.7615,4.0,28.0,24.0,1,435.0
315000,firmware engineer,Noida,m,86.16,CBSE,2011,70.08,CBSE,2,B.Tech/B.E.,Electronics and Communication Engineering Department,63.13,0,Uttar Pradesh,2015,455,595,500,20.7392169717661,0.99,1.0449,1.7007,-2.0092,0.2889,1.0,21.0,22.0,0,260.0
100000,php developer,Kolkata,f,75.0,State,2010,78.0,Others,2,B.Tech/B.E.,Computer Science Department ,71.1,1,West Bengal,2013,415,440,355,48.8347976782714,0.8463,1.3779,1.0859,-0.995,1.247,1.0,27.0,26.0,0,405.0
200000,software developer,Noida,m,56.0,CBSE,2009,56.0,State,2,MCA,Computer Science Department ,62.0,0,Uttar Pradesh,2015,605,470,355,84.31237266657419,0.7027,0.8784,0.3174,-1.1218,0.4805,0.0,23.0,23.0,0,515.0
220000,research associate,Hyderabad,f,87.0,CBSE,2008,60.0,CBSE,2,B.Tech/B.E.,Computer Science Department ,70.82,0,Uttar Pradesh,2013,640,605,400,84.2248322257836,0.8463,1.2114,1.2396,-0.1076,1.247,1.0,23.0,23.0,1,469.0
370000,project engineer,Kolkata,m,79.25,Others,2008,80.0,Others,2,B.Tech/B.E.,Information Technology Department,79.9,0,West Bengal,2012,545,580,430,63.597875645679395,0.8192,1.0858,-0.4891,-0.7603,-0.1295,3.0,24.0,22.0,1,445.0
145000,research analyst,Pune,m,88.66,State,2008,84.33,State,2,B.Tech/B.E.,Electronics and Communication Engineering Department,60.0,1,Maharashtra,2012,495,565,575,37.60595866515449,1.2828,1.7878,1.1437,-0.6428,0.5024,3.0,24.0,22.0,1,335.0
275000,quality engineer,Bangalore,m,80.8,State,2009,75.0,State,2,B.Tech/B.E.,Electronics and Communication Engineering Department,77.38,1,Karnataka,2013,405,470,370,0.0,1.4208,-0.7866,-0.1437,-1.5021,-0.4776,1.0,24.0,23.0,1,500.0
325000,software engineer,Gurgaon,m,70.0,ICSE,2010,65.0,CBSE,2,B.Tech/B.E.,Information Technology Department,66.0,0,Chhattisgarh,2014,405,470,545,0.0,0.4155,0.3789,-0.9122,-1.1218,-0.8608,1.0,23.0,23.0,0,445.0
275000,programmer,Bangalore,m,81.16,ICSE,2008,68.5,ICSE,2,B.Tech/B.E.,Electronics and Communication Engineering Department,61.5,0,Orissa,2013,605,520,325,33.8786347219528,1.4208,1.2114,0.6248,-0.995,-0.2859,0.0,24.0,23.0,0,455.0
425000,systems engineer,Hyderabad,f,83.5,Others,2008,94.2,Others,2,B.Tech/B.E.,Information Technology Department,88.2,0,Andhra Pradesh,2012,515,475,445,67.0743151433127,0.6646,1.4368,-0.0537,0.884829999999999,0.5024,4.0,24.0,22.0,0,455.0
450000,software engineer,Bangalore,m,65.0,State,2006,66.0,State,2,B.Tech/B.E.,Information Technology Department,64.0,0,Uttar Pradesh,2010,515,565,554,60.0057182338341,-0.7264,0.1888,-1.2148,-0.5253,1.1343,4.0,27.0,23.0,1,435.0
300000,software developer,Bangalore,f,88.0,State,2010,88.0,State,2,B.Tech/B.E.,Computer Science Department ,70.12,0,Andhra Pradesh,2014,710,605,605,74.47583540089391,0.5591,1.2114,1.8543,0.1459,0.0973,1.0,23.0,22.0,0,438.0
470000,senior systems engineer,Jaipur,m,79.0,CBSE,2006,76.6,CBSE,2,B.Tech/B.E.,Information Technology Department,77.85,1,Rajasthan,2010,635,495,495,67.0743151433127,0.8192,-0.5913,0.2366,-0.7603,-0.1295,5.0,26.0,22.0,1,455.0
120000,technical support executive,Others,m,55.6,State,2005,50.8,State,2,MCA,Computer Science Department ,80.03,1,West Bengal,2014,440,425,370,23.780283983757,-0.0154,0.8784,1.2396,1.2869,0.8637,2.0,27.0,26.0,0,415.0
300000,business analyst,Bangalore,m,75.0,State,2008,72.0,State,2,B.Tech/B.E.,Information Technology Department,80.0,0,Uttar Pradesh,2013,475,470,415,91.13952783913281,0.8463,1.0449,1.3933,-1.6289,-0.2859,0.0,22.0,21.0,1,595.0
205000,electrical engineer,Chennai,m,84.6,Others,2006,66.5,Others,2,B.Tech/B.E.,Electronics and Communication Engineering Department,66.7,1,Tamil Nadu,2010,345,255,395,5.87928000083534,-0.1082,0.0328,-0.1988,0.2973,-0.7615,4.0,26.0,23.0,1,200.0
310000,software engineer,Pune,m,79.0,State,2008,76.4,State,2,B.Tech/B.E.,Electronics and Communication Engineering Department,65.0,0,Maharashtra,2012,605,510,515,0.0,1.7081,0.8784,1.547,-1.6289,-0.0943,3.0,25.0,24.0,1,346.0
300000,qa analyst,Others,f,62.0,CBSE,2012,61.0,CBSE,2,B.Tech/B.E.,Computer Science Department ,70.0,0,Haryana,2013,250,305,385,10.487135986097,-0.5116,0.8229,0.8809,0.0192,1.6302,1.0,24.0,24.0,1,275.0
